state,year,month,year_month,gwp,pif,new_business_gwp,new_business_count,renewal_count,cancellation_count,agent_count,avg_premium,avg_conversion,avg_retention,anomaly_count,year_month_dt
Arizona,2021,1,2021-01,458290.08,288,214527.81,146,136,28,36,1511.5527143457866,0.2992432991609743,0.8239841541552554,13,2021-01-01
Arizona,2021,2,2021-02,522565.36,259,224218.76,111,146,34,35,1858.514560469176,0.30304859258259675,0.8240805187373912,10,2021-02-01
Arizona,2021,3,2021-03,550600.78,270,174416.71,105,142,26,36,1765.1778634359468,0.2992432991609743,0.8239841541552554,13,2021-03-01
Arizona,2021,4,2021-04,614466.95,274,253724.35,122,147,31,36,1839.1966745286077,0.2992432991609743,0.8239841541552554,5,2021-04-01
Arizona,2021,5,2021-05,693805.77,281,303621.65,137,140,30,36,2274.829204335179,0.2992432991609743,0.8239841541552554,7,2021-05-01
Arizona,2021,6,2021-06,678865.96,281,254033.13,125,159,29,35,2352.4155089196283,0.30304859258259675,0.8240805187373912,9,2021-06-01
Arizona,2021,7,2021-07,760360.98,323,328041.44,150,161,38,36,2044.3442661720994,0.2992432991609743,0.8239841541552554,11,2021-07-01
Arizona,2021,8,2021-08,622499.97,295,205512.48,118,157,32,35,1854.3405720489827,0.29980230375258826,0.8224138376834729,6,2021-08-01
Arizona,2021,9,2021-09,636030.51,262,278731.83999999997,118,133,26,35,2398.9724460423454,0.2930646654534045,0.8221785305603659,11,2021-09-01
Arizona,2021,10,2021-10,585432.95,279,243961.72999999998,140,136,39,34,1767.660392801643,0.2940645957153395,0.8245142815873138,8,2021-10-01
Arizona,2021,11,2021-11,551873.11,254,244598.13999999998,111,133,32,36,1982.9258729757898,0.2992432991609743,0.8239841541552554,17,2021-11-01
Arizona,2021,12,2021-12,526059.97,299,202522.27,136,152,25,34,1599.2771315681869,0.29680015474896965,0.8222246228185972,5,2021-12-01
Arizona,2022,1,2022-01,503610.56,280,202503.18,121,148,33,36,1660.9456857440398,0.2992432991609743,0.8239841541552554,7,2022-01-01
Arizona,2022,2,2022-02,549160.18,248,239400.81,109,125,27,34,1950.0249674213715,0.2934583868357256,0.8205089217336813,7,2022-02-01
Arizona,2022,3,2022-03,589921.63,271,226017.61,130,133,33,35,1867.2992962759463,0.30039119237849893,0.8263047586841444,9,2022-03-01
Arizona,2022,4,2022-04,747259.65,286,298396.37,128,151,33,34,2311.3696876261706,0.2940645957153395,0.8245142815873138,6,2022-04-01
